id,x,y
35,-112.96565,-21.324999
2642,-38.75722,20.597355
2125,18.65868,125.39852
1810,14.750259,87.18043
2028,-9.478071,1.889
905,-4.9603405,-23.530851
4172,-5.8503695,102.80658
1,57.33254,-78.72729
7,52.34617,-97.172485
3129,65.31725,21.155146
1018,5.730401,63.140636
13,11.101537,-75.15417
4197,-45.735672,81.767
2388,27.328217,98.631775
2296,-14.636838,32.873367
1953,49.38455,63.542156
1334,3.3930268,6.020539
2067,72.48487,-11.063016
3988,-73.32785,111.42268
1386,72.45021,-31.095984
2045,-16.355774,129.21024
4291,-73.44313,44.920925
1396,27.08543,-55.71155
546,-10.773809,-43.439957
1352,104.576096,12.986063
2266,19.573362,21.849323
1899,6.5785913,-8.227489
3735,-33.95105,52.5256
1565,16.704912,69.20946
2625,-19.403955,55.40199
3897,-64.088036,152.16484
2942,-67.001236,58.073986
202,77.6513,-101.88321
1317,-5.149084,-57.908604
4559,-7.476468,137.62128
135,77.60173,-64.05978
304,5.647026,-29.020987
25,-23.08179,81.46831
3451,-33.738903,82.24889
1383,38.113907,-59.2855
3828,-23.320496,75.63238
3649,-66.11576,67.50309
1832,-17.899632,87.71731
1566,-25.765232,-58.07514
41,37.03523,-99.61697
257,57.5937,-107.59949
832,-3.6699724,-123.33273
3744,-49.270267,162.18669
3722,113.7225,19.640114
2934,-41.7778,129.92297
2635,78.690216,58.24296
1731,35.76679,5.3084674
1615,-40.016033,-61.44488
353,8.944002,-91.23456
1585,-8.582034,-51.66527
64,53.210754,-129.171
4694,-56.743088,95.584595
1217,-32.573914,-84.61511
2600,-56.99131,56.857433
545,-37.284843,-54.953285
1771,-15.401539,-27.614323
3598,-39.971264,-4.1195893
2897,3.958108,25.235523
2198,18.757322,-0.9872105
4635,-63.998596,152.14928
361,8.264082,53.838017
57,17.26534,-65.63452
3018,71.888115,69.23821
4611,-51.185837,101.90543
3719,-14.275691,108.82904
1201,54.24334,-24.602678
60,57.97098,-106.8657
3878,27.90959,54.260494
2194,42.510887,-21.884464
1363,74.867645,-56.376053
3916,-42.16779,65.19206
1744,-28.295147,-28.523775
5227,-39.478218,111.30827
1162,-14.490931,-102.60242
2725,-11.324362,18.902863
1802,81.4652,-9.7852745
4649,-75.272095,103.61279
2835,-18.102982,21.878338
2173,39.846333,-18.386148
4,36.8465,-83.44807
1555,-27.963837,-61.90189
4532,-46.1912,129.49196
2877,-39.824734,-91.41931
523,20.823666,-114.132
2404,-47.21745,52.493626
3452,-28.829271,100.0329
2647,75.46642,48.755554
1860,-0.023663325,-30.037832
882,-26.110758,-116.53826
537,24.407396,-144.98909
775,-45.987347,-79.3858
468,26.215858,-101.25436
280,68.71106,-45.611534
4833,-77.17435,86.45509
104,42.995365,-83.17314
2110,-25.86307,49.206074
2378,67.78764,62.479816
1693,12.954247,-42.633156
3707,112.898315,11.466093
1281,-53.765495,-65.4875
4107,80.58244,82.568115
1543,14.247639,-30.28125
2176,24.407957,-19.144453
4385,103.118416,7.308342
492,-28.91988,-104.03192
937,-7.711077,-78.7984
215,63.686104,-124.7016
729,-26.150347,-122.775154
687,7.5489235,-135.15073
2063,30.106512,36.01932
592,19.747538,-117.436295
309,76.892166,-43.489017
3837,-48.932087,70.238976
1629,-25.083023,-16.644697
1316,35.039257,-6.3229446
5612,-59.11707,117.08108
908,-9.496388,-124.26179
6,61.356426,-85.33517
1675,-13.83221,-10.568086
3820,-22.033834,67.18455
3366,-61.978287,24.742855
1052,33.29137,54.46325
171,29.401062,-120.56752
1735,109.70212,2.0090463
2,70.41503,-90.96248
550,58.429787,-60.902683
3099,-51.877438,9.939832
62,63.47373,-99.91258
3578,-85.608574,40.078953
198,21.28169,-118.91921
481,-18.069786,107.776085
3345,-79.61789,54.51731
3699,-54.517853,69.46928
3640,113.22194,4.3391795
4515,-63.21068,91.34426
1967,39.37288,-29.308672
4779,94.32821,69.81811
1366,-3.8763762,-66.07619
270,-5.3049564,-83.953156
3465,-47.2113,97.301094
540,-1.7063848,-96.39234
3219,-16.495798,48.931805
1185,44.679714,-12.207701
3804,-29.704514,103.51419
1815,-64.176346,156.6057
1053,-30.397007,-111.57048
2397,51.99217,106.45004
2485,65.04925,50.94121
4402,-76.24538,63.063957
5363,-4.8019505,125.2825
4365,-70.02169,94.564766
3429,-64.435745,120.66015
2351,83.381676,-25.151657
144,42.65391,-111.07795
2017,-51.5506,162.4284
2498,14.350543,50.053947
1764,-47.160217,-38.737907
1612,17.838139,41.12556
2658,39.225235,-9.016353
29,44.03409,-127.88302
1656,37.929745,-6.4712253
96,17.319378,-9.745958
1714,31.135612,-0.63783365
113,62.787483,-68.26851
664,5.1857853,-95.905075
115,110.308975,-1.5678478
4458,-63.459934,155.03741
2691,76.173134,-23.103703
3527,77.840004,90.43006
1921,-19.803825,-16.400513
1948,31.262754,-35.413975
3903,-76.884155,55.03141
2214,2.2457616,13.481813
732,-0.8889447,-135.19957
3642,-11.416488,72.10487
1529,30.069883,-19.31626
1318,29.719887,82.80312
363,74.28118,10.274533
5472,-59.40767,104.10215
2318,21.753862,-1.1675076
2252,67.04406,-3.2036042
178,46.842644,-66.599884
3669,-5.1744404,41.911556
4499,-55.925552,126.71144
4531,-55.954487,154.89699
1620,20.413042,-43.041912
4315,51.634476,-3.6317484
3040,-66.54426,102.24198
4554,-86.052505,72.37572
3714,-19.621935,91.49002
36,-35.544212,-75.99344
149,63.251,-82.73577
4683,-57.65899,157.76576
3572,111.83658,8.840391
634,-0.30853492,-89.31076
1245,-39.184807,-34.596603
425,40.63928,-76.008965
1499,-44.732914,-19.103334
4304,-80.4512,28.084522
522,4.1634736,-100.457794
2262,-84.872375,6.809485
4654,-55.03689,154.88368
3445,51.347733,-6.306615
256,28.63293,-110.65828
1512,114.68893,8.236384
5506,112.62532,9.358449
2328,4.0785933,18.16494
1348,-24.857426,-87.85367
1846,41.722816,-40.69979
923,1.3978908,-123.93658
1528,24.446703,-9.04185
2524,31.4836,-28.107445
3935,90.42662,79.8711
4038,-64.35577,84.209236
3545,8.836331,43.774952
4707,-57.540657,156.76782
1670,-83.70472,32.465363
3260,85.082466,60.96888
1487,10.524212,-37.018803
4205,118.45304,-19.510529
132,39.016323,-95.82217
5508,118.79881,11.025454
204,79.893394,-72.20167
4925,-48.670746,108.190384
1922,-12.614116,-24.37533
635,34.18508,-69.738594
1094,-23.661097,-98.082405
4860,110.2833,6.589208
3756,-50.061554,161.33546
2141,-33.394547,-43.686237
230,-1.4937307,65.715965
5316,-64.36704,101.75011
3760,-50.492584,161.08965
3653,-47.328976,11.349527
2322,-95.372406,71.941444
4921,119.295074,9.401057
1690,32.593678,-38.179855
1502,26.535257,-2.427763
3880,81.01841,72.91788
3792,-66.55252,155.90266
3789,-65.483986,156.71005
3790,-67.11168,155.33272
33,-34.781303,104.45696
1508,8.974928,11.913372
4661,-54.143864,155.97389
3791,-66.04765,156.26642
1562,-35.125973,-64.54966
3795,-65.174644,155.84021
3757,-50.433784,161.76709
209,-13.3848095,-114.37168
4320,-91.210846,61.072838
3794,-65.65392,155.43047
3013,-68.599205,88.31956
4163,-6.108215,52.78181
4686,-57.051094,159.20108
3000,-39.84316,92.21718
3759,-50.87232,161.3617
2763,-10.688926,26.384525
4668,-55.991776,156.53456
3793,-66.28957,155.19894
51,-59.695385,-29.011196
2728,31.508585,-25.202795
2303,-26.344454,101.21254
4681,-56.383957,158.66122
4666,-54.83522,155.89156
4266,89.390144,64.57161
4688,-55.27187,160.1271
4667,-56.55918,155.87431
2565,-67.65369,-40.13791
2306,19.296211,6.4985456
2848,40.79801,43.910606
4680,-55.953003,159.31744
647,32.04998,-117.33226
5525,116.93484,15.333308
4867,-71.3701,93.73474
23,74.006836,-84.10267
2822,123.05111,12.527917
3786,-66.212364,157.1395
4553,-70.76847,79.599594
273,4.156827,-142.9662
4673,-55.192482,156.83577
4733,-56.73254,157.51672
1850,17.134972,95.651535
3788,-67.39137,156.15654
1584,23.96285,-32.241238
4254,-78.10357,77.24827
4301,95.43201,80.62972
2344,30.910076,18.328705
17,66.87526,-80.96074
630,14.583657,-134.78004
710,58.170322,-136.87006
